"EventCode","EVENTDESCRIPTION","Month","Year","Actor1Code","Actor2Code","EventBaseCode","EventRootCode","QuadClass","NumMentions","Actor1Geo_Type","Actor1Geo_CountryCode","Actor2Geo_CountryCode","ActionGeo_Type","Region","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID"
"130.0","Threaten, not specified below","4.0","2018.0","BUS","SAU","130.0","13.0","3.0","14.0","4.0","SA","SA","4.0","Ash Sharqiyah","25.9","49.7","-3094116"
"130.0","Threaten, not specified below","4.0","2018.0","REB","MIL","130.0","13.0","3.0","5.0","4.0","SA","SA","4.0","Ash Sharqiyah","25.9","49.7","-3094116"
"130.0","Threaten, not specified below","7.0","2018.0","IGOEUREECMIL","1","130.0","13.0","3.0","5.0","4.0","SA","1","4.0","Ash Sharqiyah","25.9","49.7","-3094116"
"130.0","Threaten, not specified below","7.0","2018.0","1","SAUBUS","130.0","13.0","3.0","1.0","0.0","1","SA","4.0","Ash Sharqiyah","25.9","49.7","-3094116"
"130.0","Threaten, not specified below","7.0","2018.0","DJI","SAUBUS","130.0","13.0","3.0","2.0","4.0","DJ","SA","4.0","Ash Sharqiyah","25.9","49.7","-3094116"
"130.0","Threaten, not specified below","7.0","2018.0","SAU","SAUBUS","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Ash Sharqiyah","25.9","49.7","-3094116"
"130.0","Threaten, not specified below","8.0","2018.0","MED","SAUMIL","130.0","13.0","3.0","6.0","4.0","SA","SA","4.0","Ash Sharqiyah","25.9","49.7","-3094116"
"130.0","Threaten, not specified below","8.0","2018.0","SAUMED","SAU","130.0","13.0","3.0","4.0","4.0","SA","SA","4.0","Ash Sharqiyah","25.9","49.7","-3094116"
"130.0","Threaten, not specified below","4.0","2018.0","YEM","SAU","130.0","13.0","3.0","5.0","4.0","YM","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","6.0","2018.0","YEMMIL","SAU","130.0","13.0","3.0","1.0","5.0","SA","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","6.0","2018.0","YEMMIL","YEM","130.0","13.0","3.0","1.0","4.0","YM","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","4.0","2018.0","1","SAU","130.0","13.0","3.0","18.0","0.0","1","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","4.0","2018.0","GOVMIL","SAU","130.0","13.0","3.0","36.0","5.0","SA","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","4.0","2018.0","GOVMIL","SAU","130.0","13.0","3.0","1.0","5.0","SA","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","4.0","2018.0","1","SAU","130.0","13.0","3.0","1.0","0.0","1","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","7.0","2018.0","YEM","SAU","130.0","13.0","3.0","2.0","5.0","SA","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","6.0","2018.0","1","SAU","130.0","13.0","3.0","30.0","0.0","1","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","5.0","2018.0","1","COP","130.0","13.0","3.0","10.0","0.0","1","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","6.0","2018.0","1","SAU","130.0","13.0","3.0","18.0","0.0","1","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","8.0","2018.0","SAU","1","130.0","13.0","3.0","10.0","5.0","SA","1","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","5.0","2018.0","1","COP","130.0","13.0","3.0","20.0","0.0","1","SA","5.0","Asir","19.2","43.2","-3093241"
"130.0","Threaten, not specified below","4.0","2018.0","SAU","SAUGOV","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.6","50.0","-3091408"
"130.0","Threaten, not specified below","9.0","2018.0","GOV","1","130.0","13.0","3.0","10.0","4.0","SA","1","4.0","Riyadh","25.6","45.7","-3091411"
"130.0","Threaten, not specified below","2.0","2018.0","MOS","1","130.0","13.0","3.0","10.0","4.0","SA","1","4.0","Asir","20.0","42.6","-3098100"
"130.0","Threaten, not specified below","7.0","2018.0","1","SAU","130.0","13.0","3.0","5.0","0.0","1","SA","4.0","Ash Sharqiyah","27.4","46.8","-3094139"
"130.0","Threaten, not specified below","7.0","2018.0","1","SAU","130.0","13.0","3.0","10.0","0.0","1","SA","4.0","Ash Sharqiyah","27.4","46.8","-3094139"
"130.0","Threaten, not specified below","3.0","2018.0","MED","SAU","130.0","13.0","3.0","54.0","4.0","SA","SA","4.0","Madinah","24.1","40.7","-3094159"
"130.0","Threaten, not specified below","3.0","2018.0","EGY","SAU","130.0","13.0","3.0","9.0","4.0","SA","SA","4.0","Madinah","24.1","40.7","-3094159"
"130.0","Threaten, not specified below","3.0","2018.0","SAUMED","SAU","130.0","13.0","3.0","6.0","4.0","SA","SA","4.0","Madinah","24.1","40.7","-3094159"
"130.0","Threaten, not specified below","3.0","2018.0","EGY","SAU","130.0","13.0","3.0","3.0","4.0","SA","SA","4.0","Madinah","24.1","40.7","-3094159"
"130.0","Threaten, not specified below","3.0","2018.0","SAUMED","SAU","130.0","13.0","3.0","48.0","4.0","SA","SA","4.0","Madinah","24.1","40.7","-3094159"
"130.0","Threaten, not specified below","3.0","2018.0","MED","SAU","130.0","13.0","3.0","135.0","4.0","SA","SA","4.0","Madinah","24.1","40.7","-3094159"
"130.0","Threaten, not specified below","4.0","2018.0","SAU","YEM","130.0","13.0","3.0","18.0","4.0","SA","YM","4.0","Asir","20.1","42.6","-3094394"
"130.0","Threaten, not specified below","1.0","2018.0","SAU","1","130.0","13.0","3.0","10.0","4.0","SA","1","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","4.0","2018.0","SAU","MIL","130.0","13.0","3.0","2.0","4.0","SA","QA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","4.0","2018.0","SAUGOV","MIL","130.0","13.0","3.0","4.0","4.0","SA","QA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","4.0","2018.0","SAU","YEM","130.0","13.0","3.0","2.0","1.0","WI","YM","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
